geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
county,Beaverhead County,driving,NA,Montana,United States,2020-04-15,43.91
county,Beaverhead County,driving,NA,Montana,United States,2020-04-16,54.29
county,Beaverhead County,driving,NA,Montana,United States,2020-04-17,79.34
county,Beaverhead County,driving,NA,Montana,United States,2020-04-18,69.86
county,Beaverhead County,driving,NA,Montana,United States,2020-04-19,49.4
county,Beaverhead County,driving,NA,Montana,United States,2020-04-20,63.07
county,Beaverhead County,driving,NA,Montana,United States,2020-04-21,60.78
county,Beaverhead County,driving,NA,Montana,United States,2020-04-22,65.87
county,Beaverhead County,driving,NA,Montana,United States,2020-04-23,69.16
county,Beaverhead County,driving,NA,Montana,United States,2020-04-24,74.05
county,Beaverhead County,driving,NA,Montana,United States,2020-04-25,82.93
county,Beaverhead County,driving,NA,Montana,United States,2020-04-26,79.34
county,Beaverhead County,driving,NA,Montana,United States,2020-04-27,74.75
county,Beaverhead County,driving,NA,Montana,United States,2020-04-28,74.25
county,Beaverhead County,driving,NA,Montana,United States,2020-04-29,74.15
county,Beaverhead County,driving,NA,Montana,United States,2020-04-30,80.94
county,Beaverhead County,driving,NA,Montana,United States,2020-05-01,106.49
county,Beaverhead County,driving,NA,Montana,United States,2020-05-02,86.63
county,Beaverhead County,driving,NA,Montana,United States,2020-05-03,90.22
county,Beaverhead County,driving,NA,Montana,United States,2020-05-04,81.74
county,Beaverhead County,driving,NA,Montana,United States,2020-05-05,78.14
county,Beaverhead County,driving,NA,Montana,United States,2020-05-06,79.24
county,Beaverhead County,driving,NA,Montana,United States,2020-05-07,91.22
county,Beaverhead County,driving,NA,Montana,United States,2020-05-08,98.5
county,Beaverhead County,driving,NA,Montana,United States,2020-05-09,94.11
county,Beaverhead County,driving,NA,Montana,United States,2020-05-10,95.11
county,Beaverhead County,driving,NA,Montana,United States,2020-05-11,NA
county,Beaverhead County,driving,NA,Montana,United States,2020-05-12,NA
county,Beaverhead County,driving,NA,Montana,United States,2020-05-13,90.02
county,Beaverhead County,driving,NA,Montana,United States,2020-05-14,113.57
county,Beaverhead County,driving,NA,Montana,United States,2020-05-15,115.97
county,Beaverhead County,driving,NA,Montana,United States,2020-05-16,98.3
county,Beaverhead County,driving,NA,Montana,United States,2020-05-17,106.69
county,Beaverhead County,driving,NA,Montana,United States,2020-05-18,96.61
county,Beaverhead County,driving,NA,Montana,United States,2020-05-19,86.93
county,Beaverhead County,driving,NA,Montana,United States,2020-05-20,99.1
county,Beaverhead County,driving,NA,Montana,United States,2020-05-21,122.46
county,Beaverhead County,driving,NA,Montana,United States,2020-05-22,161.58
county,Beaverhead County,driving,NA,Montana,United States,2020-05-23,140.22
county,Beaverhead County,driving,NA,Montana,United States,2020-05-24,142.02
county,Beaverhead County,driving,NA,Montana,United States,2020-05-25,141.52
county,Beaverhead County,driving,NA,Montana,United States,2020-05-26,106.99
county,Beaverhead County,driving,NA,Montana,United States,2020-05-27,114.57
county,Beaverhead County,driving,NA,Montana,United States,2020-05-28,109.18
county,Beaverhead County,driving,NA,Montana,United States,2020-05-29,129.14
county,Beaverhead County,driving,NA,Montana,United States,2020-05-30,144.41
county,Beaverhead County,driving,NA,Montana,United States,2020-05-31,137.72
county,Beaverhead County,driving,NA,Montana,United States,2020-06-01,118.86
county,Beaverhead County,driving,NA,Montana,United States,2020-06-02,114.77
county,Beaverhead County,driving,NA,Montana,United States,2020-06-03,120.16
county,Beaverhead County,driving,NA,Montana,United States,2020-06-04,136.23
county,Beaverhead County,driving,NA,Montana,United States,2020-06-05,147.5
county,Beaverhead County,driving,NA,Montana,United States,2020-06-06,136.53
county,Beaverhead County,driving,NA,Montana,United States,2020-06-07,138.72
county,Beaverhead County,driving,NA,Montana,United States,2020-06-08,134.13
county,Beaverhead County,driving,NA,Montana,United States,2020-06-09,146.21
county,Beaverhead County,driving,NA,Montana,United States,2020-06-10,132.34
county,Beaverhead County,driving,NA,Montana,United States,2020-06-11,166.77
county,Beaverhead County,driving,NA,Montana,United States,2020-06-12,174.05
county,Beaverhead County,driving,NA,Montana,United States,2020-06-13,181.44
county,Beaverhead County,driving,NA,Montana,United States,2020-06-14,155.59
county,Beaverhead County,driving,NA,Montana,United States,2020-06-15,155.79
county,Beaverhead County,driving,NA,Montana,United States,2020-06-16,134.13
county,Beaverhead County,driving,NA,Montana,United States,2020-06-17,156.39
county,Beaverhead County,driving,NA,Montana,United States,2020-06-18,175.05
county,Beaverhead County,driving,NA,Montana,United States,2020-06-19,188.12
county,Beaverhead County,driving,NA,Montana,United States,2020-06-20,194.81
county,Beaverhead County,driving,NA,Montana,United States,2020-06-21,216.47
county,Beaverhead County,driving,NA,Montana,United States,2020-06-22,197.41
county,Beaverhead County,driving,NA,Montana,United States,2020-06-23,150.5
county,Beaverhead County,driving,NA,Montana,United States,2020-06-24,183.63
county,Beaverhead County,driving,NA,Montana,United States,2020-06-25,204.99
county,Beaverhead County,driving,NA,Montana,United States,2020-06-26,257.19
county,Beaverhead County,driving,NA,Montana,United States,2020-06-27,261.08
county,Beaverhead County,driving,NA,Montana,United States,2020-06-28,227.35
county,Beaverhead County,driving,NA,Montana,United States,2020-06-29,197.21
county,Beaverhead County,driving,NA,Montana,United States,2020-06-30,206.79
county,Beaverhead County,driving,NA,Montana,United States,2020-07-01,191.92
county,Beaverhead County,driving,NA,Montana,United States,2020-07-02,267.27
county,Beaverhead County,driving,NA,Montana,United States,2020-07-03,281.24
county,Beaverhead County,driving,NA,Montana,United States,2020-07-04,188.42
county,Beaverhead County,driving,NA,Montana,United States,2020-07-05,308.78
county,Beaverhead County,driving,NA,Montana,United States,2020-07-06,239.62
county,Beaverhead County,driving,NA,Montana,United States,2020-07-07,225.75
county,Beaverhead County,driving,NA,Montana,United States,2020-07-08,222.85
county,Beaverhead County,driving,NA,Montana,United States,2020-07-09,209.78
county,Beaverhead County,driving,NA,Montana,United States,2020-07-10,246.71
county,Beaverhead County,driving,NA,Montana,United States,2020-07-11,268.76
county,Beaverhead County,driving,NA,Montana,United States,2020-07-12,251.3
county,Beaverhead County,driving,NA,Montana,United States,2020-07-13,234.73
county,Beaverhead County,driving,NA,Montana,United States,2020-07-14,202.5
county,Beaverhead County,driving,NA,Montana,United States,2020-07-15,202.79
county,Beaverhead County,driving,NA,Montana,United States,2020-07-16,249.5
county,Beaverhead County,driving,NA,Montana,United States,2020-07-17,234.43
county,Beaverhead County,driving,NA,Montana,United States,2020-07-18,259.18
county,Beaverhead County,driving,NA,Montana,United States,2020-07-19,287.92
county,Beaverhead County,driving,NA,Montana,United States,2020-07-20,212.28
county,Beaverhead County,driving,NA,Montana,United States,2020-07-21,230.74
county,Beaverhead County,driving,NA,Montana,United States,2020-07-22,218.56
