geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Phoenix,driving,NA,Arizona,United States,2020-01-13,100
city,Phoenix,driving,NA,Arizona,United States,2020-01-14,104.44
city,Phoenix,driving,NA,Arizona,United States,2020-01-15,107.22
city,Phoenix,driving,NA,Arizona,United States,2020-01-16,111.28
city,Phoenix,driving,NA,Arizona,United States,2020-01-17,126.12
city,Phoenix,driving,NA,Arizona,United States,2020-01-18,115.83
city,Phoenix,driving,NA,Arizona,United States,2020-01-19,85.22
city,Phoenix,driving,NA,Arizona,United States,2020-01-20,98.21
city,Phoenix,driving,NA,Arizona,United States,2020-01-21,103.91
city,Phoenix,driving,NA,Arizona,United States,2020-01-22,104.83
city,Phoenix,driving,NA,Arizona,United States,2020-01-23,108
city,Phoenix,driving,NA,Arizona,United States,2020-01-24,120.78
city,Phoenix,driving,NA,Arizona,United States,2020-01-25,114.22
city,Phoenix,driving,NA,Arizona,United States,2020-01-26,77.21
city,Phoenix,driving,NA,Arizona,United States,2020-01-27,100
city,Phoenix,driving,NA,Arizona,United States,2020-01-28,104.85
city,Phoenix,driving,NA,Arizona,United States,2020-01-29,107.67
city,Phoenix,driving,NA,Arizona,United States,2020-01-30,113.59
city,Phoenix,driving,NA,Arizona,United States,2020-01-31,127.74
city,Phoenix,driving,NA,Arizona,United States,2020-02-01,118.67
city,Phoenix,driving,NA,Arizona,United States,2020-02-02,77.06
city,Phoenix,driving,NA,Arizona,United States,2020-02-03,99.86
city,Phoenix,driving,NA,Arizona,United States,2020-02-04,105.39
city,Phoenix,driving,NA,Arizona,United States,2020-02-05,104.65
city,Phoenix,driving,NA,Arizona,United States,2020-02-06,109
city,Phoenix,driving,NA,Arizona,United States,2020-02-07,127.32
city,Phoenix,driving,NA,Arizona,United States,2020-02-08,124.05
city,Phoenix,driving,NA,Arizona,United States,2020-02-09,83.69
city,Phoenix,driving,NA,Arizona,United States,2020-02-10,101.79
city,Phoenix,driving,NA,Arizona,United States,2020-02-11,106.02
city,Phoenix,driving,NA,Arizona,United States,2020-02-12,111.81
