X1,geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-01,66.44
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-02,62.01
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-03,73.66
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-04,64.97
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-05,54.08
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-06,66.74
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-07,67.89
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-08,67.9
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-09,71.87
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-10,81.12
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-11,76.6
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-12,47.23
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-13,69.03
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-14,75.12
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-15,82.04
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-16,82.65
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-17,94.62
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-18,86.79
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-19,67.63
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-20,82.42
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-21,84.64
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-22,90.44
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-23,91.08
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-24,103.09
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-25,101.44
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-26,80.86
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-27,101.87
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-28,102.66
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-29,107.73
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-30,111.24
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-01,125.39
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-02,114.56
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-03,92.36
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-04,109.4
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-05,116.67
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-06,118.11
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-07,118.46
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-08,134.26
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-09,128.55
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-10,93.72
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-11,NA
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-12,NA
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-13,130.35
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-14,136.85
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-15,159.28
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-16,141.54
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-17,112.28
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-18,133.87
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-19,141.26
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-20,149.05
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-21,143.76
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-22,166.9
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-23,133.82
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-24,103.12
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-25,110.55
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-26,142.73
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-27,152.52
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-28,158.93
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-29,172.77
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-30,147.03
1,city,Anchorage,driving,NA,Alaska,United States,2020-05-31,117.12
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-01,148.58
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-02,154.59
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-03,158.49
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-04,165.35
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-05,183.29
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-06,163.23
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-07,132.3
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-08,154.04
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-09,157.65
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-10,167.27
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-11,170.48
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-12,191.7
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-13,169.8
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-14,144.89
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-15,167.71
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-16,169.46
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-17,168.12
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-18,174.1
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-19,187.77
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-20,168.65
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-21,131.28
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-22,168.23
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-23,166.94
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-24,177.58
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-25,181.42
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-26,194.69
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-27,185.37
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-28,139
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-29,170.43
1,city,Anchorage,driving,NA,Alaska,United States,2020-06-30,181.46
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-01,196.78
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-02,198.13
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-03,188.49
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-04,143.12
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-05,143.81
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-06,181.62
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-07,186.86
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-08,178.87
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-09,189.29
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-10,210.69
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-11,187.16
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-12,151.93
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-13,186.64
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-14,192.95
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-15,203.3
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-16,194.86
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-17,205.84
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-18,181.52
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-19,149.87
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-20,179.74
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-21,192.96
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-22,188
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-23,198.41
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-24,201.71
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-25,174.39
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-26,154.9
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-27,185.54
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-28,187.56
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-29,185.73
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-30,198.81
1,city,Anchorage,driving,NA,Alaska,United States,2020-07-31,217.93
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-01,182.01
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-02,149.62
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-03,185.51
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-04,188.07
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-05,194.8
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-06,186.82
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-07,210.81
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-08,187.64
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-09,153.93
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-10,180.42
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-11,172.67
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-12,184.14
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-13,190.6
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-14,210.81
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-15,190.07
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-16,158.46
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-17,184.76
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-18,178.03
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-19,179.86
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-20,182.08
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-21,205.07
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-22,182.54
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-23,140.01
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-24,161.89
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-25,161.79
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-26,166.76
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-27,176.76
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-28,201.21
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-29,177.01
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-30,134.52
1,city,Anchorage,driving,NA,Alaska,United States,2020-08-31,153.55
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-01,166.28
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-02,165.8
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-03,177.07
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-04,198.7
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-05,177.04
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-06,138.35
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-07,133.95
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-08,164.64
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-09,168.43
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-10,169.26
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-11,191.34
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-12,179.64
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-13,141.68
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-14,156
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-15,159.46
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-16,163.78
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-17,158.7
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-18,185.74
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-19,173.04
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-20,129.28
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-21,150.22
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-22,150.06
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-23,155.99
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-24,154.02
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-25,175.06
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-26,169.01
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-27,125.81
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-28,143.75
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-29,143.83
1,city,Anchorage,driving,NA,Alaska,United States,2020-09-30,147.87
1,city,Anchorage,driving,NA,Alaska,United States,2020-10-01,149.25
1,city,Anchorage,driving,NA,Alaska,United States,2020-10-02,174.74
1,city,Anchorage,driving,NA,Alaska,United States,2020-10-03,155.72
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-13,100
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-14,98.8
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-15,98.83
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-16,104.05
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-17,117.89
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-18,103.23
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-19,80.29
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-20,83.59
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-21,104.4
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-22,99.9
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-23,94.3
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-24,120.33
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-25,112.05
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-26,80.32
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-27,87.02
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-28,79.64
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-29,86.71
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-30,91.35
2,city,Anchorage,walking,NA,Alaska,United States,2020-01-31,109.72
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-01,105.73
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-02,77.88
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-03,99.79
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-04,87.91
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-05,102.23
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-06,102.44
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-07,117.17
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-08,121.15
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-09,78.06
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-10,98.87
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-11,98.59
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-12,98.11
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-13,117.79
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-14,129.02
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-15,116.86
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-16,86.4
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-17,95.09
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-18,100.62
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-19,104.43
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-20,107.14
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-21,114.94
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-22,119.71
2,city,Anchorage,walking,NA,Alaska,United States,2020-02-23,95.3
