geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Antioch,driving,NA,California,United States,2020-05-01,94.03
city,Antioch,driving,NA,California,United States,2020-05-02,92.21
city,Antioch,driving,NA,California,United States,2020-05-03,78.92
city,Antioch,driving,NA,California,United States,2020-05-04,91.83
city,Antioch,driving,NA,California,United States,2020-05-05,92.6
city,Antioch,driving,NA,California,United States,2020-05-06,89.59
city,Antioch,driving,NA,California,United States,2020-05-07,95.43
city,Antioch,driving,NA,California,United States,2020-05-08,106.15
city,Antioch,driving,NA,California,United States,2020-05-09,112.92
city,Antioch,driving,NA,California,United States,2020-05-10,92.95
city,Antioch,driving,NA,California,United States,2020-05-11,NA
city,Antioch,driving,NA,California,United States,2020-05-12,NA
city,Antioch,driving,NA,California,United States,2020-05-13,97.29
city,Antioch,driving,NA,California,United States,2020-05-14,102.3
city,Antioch,driving,NA,California,United States,2020-05-15,121.1
city,Antioch,driving,NA,California,United States,2020-05-16,130.13
city,Antioch,driving,NA,California,United States,2020-05-17,97.79
city,Antioch,driving,NA,California,United States,2020-05-18,102.93
city,Antioch,driving,NA,California,United States,2020-05-19,111.6
city,Antioch,driving,NA,California,United States,2020-05-20,111.71
city,Antioch,driving,NA,California,United States,2020-05-21,117.34
city,Antioch,driving,NA,California,United States,2020-05-22,137.1
city,Antioch,driving,NA,California,United States,2020-05-23,146
city,Antioch,driving,NA,California,United States,2020-05-24,131.4
city,Antioch,driving,NA,California,United States,2020-05-25,114.43
city,Antioch,driving,NA,California,United States,2020-05-26,120.14
city,Antioch,driving,NA,California,United States,2020-05-27,120.73
city,Antioch,driving,NA,California,United States,2020-05-28,121.61
city,Antioch,driving,NA,California,United States,2020-05-29,135.57
city,Antioch,driving,NA,California,United States,2020-05-30,129.85
city,Antioch,driving,NA,California,United States,2020-05-31,118.77
city,Antioch,driving,NA,California,United States,2020-06-01,116.22
city,Antioch,driving,NA,California,United States,2020-06-02,112.37
city,Antioch,driving,NA,California,United States,2020-06-03,115.84
city,Antioch,driving,NA,California,United States,2020-06-04,127.62
city,Antioch,driving,NA,California,United States,2020-06-05,140.49
city,Antioch,driving,NA,California,United States,2020-06-06,149.59
city,Antioch,driving,NA,California,United States,2020-06-07,118.96
city,Antioch,driving,NA,California,United States,2020-06-08,127.3
city,Antioch,driving,NA,California,United States,2020-06-09,130.62
city,Antioch,driving,NA,California,United States,2020-06-10,128.5
city,Antioch,driving,NA,California,United States,2020-06-11,132.14
city,Antioch,driving,NA,California,United States,2020-06-12,144.87
city,Antioch,driving,NA,California,United States,2020-06-13,149.76
city,Antioch,driving,NA,California,United States,2020-06-14,124.6
city,Antioch,driving,NA,California,United States,2020-06-15,128.11
city,Antioch,driving,NA,California,United States,2020-06-16,126.98
city,Antioch,driving,NA,California,United States,2020-06-17,129.84
city,Antioch,driving,NA,California,United States,2020-06-18,136.72
city,Antioch,driving,NA,California,United States,2020-06-19,167.87
city,Antioch,driving,NA,California,United States,2020-06-20,157.2
city,Antioch,driving,NA,California,United States,2020-06-21,115.96
city,Antioch,driving,NA,California,United States,2020-06-22,133.09
city,Antioch,driving,NA,California,United States,2020-06-23,136.73
city,Antioch,driving,NA,California,United States,2020-06-24,137.58
city,Antioch,driving,NA,California,United States,2020-06-25,144.04
city,Antioch,driving,NA,California,United States,2020-06-26,161.11
city,Antioch,driving,NA,California,United States,2020-06-27,162.19
city,Antioch,driving,NA,California,United States,2020-06-28,127.07
city,Antioch,driving,NA,California,United States,2020-06-29,139.95
city,Antioch,driving,NA,California,United States,2020-06-30,140.48
city,Antioch,driving,NA,California,United States,2020-07-01,142.02
city,Antioch,driving,NA,California,United States,2020-07-02,155.91
city,Antioch,driving,NA,California,United States,2020-07-03,152.87
city,Antioch,driving,NA,California,United States,2020-07-04,122.59
city,Antioch,driving,NA,California,United States,2020-07-05,119.73
city,Antioch,driving,NA,California,United States,2020-07-06,133.55
city,Antioch,driving,NA,California,United States,2020-07-07,139.36
city,Antioch,driving,NA,California,United States,2020-07-08,140.99
city,Antioch,driving,NA,California,United States,2020-07-09,146.13
city,Antioch,driving,NA,California,United States,2020-07-10,161.4
city,Antioch,driving,NA,California,United States,2020-07-11,156.24
city,Antioch,driving,NA,California,United States,2020-07-12,126.12
city,Antioch,driving,NA,California,United States,2020-07-13,136.26
city,Antioch,driving,NA,California,United States,2020-07-14,139.77
city,Antioch,driving,NA,California,United States,2020-07-15,140.3
city,Antioch,driving,NA,California,United States,2020-07-16,152.2
city,Antioch,driving,NA,California,United States,2020-07-17,155.37
city,Antioch,driving,NA,California,United States,2020-07-18,153.52
city,Antioch,driving,NA,California,United States,2020-07-19,126.97
city,Antioch,driving,NA,California,United States,2020-07-20,139.63
city,Antioch,driving,NA,California,United States,2020-07-21,137.15
city,Antioch,driving,NA,California,United States,2020-07-22,138.4
city,Antioch,driving,NA,California,United States,2020-07-23,140.34
city,Antioch,driving,NA,California,United States,2020-07-24,169.81
city,Antioch,driving,NA,California,United States,2020-07-25,155.57
city,Antioch,driving,NA,California,United States,2020-07-26,127.68
city,Antioch,driving,NA,California,United States,2020-07-27,138.32
city,Antioch,driving,NA,California,United States,2020-07-28,143.13
city,Antioch,driving,NA,California,United States,2020-07-29,139.53
city,Antioch,driving,NA,California,United States,2020-07-30,143.72
city,Antioch,driving,NA,California,United States,2020-07-31,162.49
city,Antioch,driving,NA,California,United States,2020-08-01,158.23
city,Antioch,driving,NA,California,United States,2020-08-02,130.5
city,Antioch,driving,NA,California,United States,2020-08-03,148.26
city,Antioch,driving,NA,California,United States,2020-08-04,144.33
city,Antioch,driving,NA,California,United States,2020-08-05,142.7
city,Antioch,driving,NA,California,United States,2020-08-06,145.69
city,Antioch,driving,NA,California,United States,2020-08-07,166.23
city,Antioch,driving,NA,California,United States,2020-08-08,161.72
city,Antioch,driving,NA,California,United States,2020-08-09,134.1
city,Antioch,driving,NA,California,United States,2020-08-10,140.73
city,Antioch,driving,NA,California,United States,2020-08-11,138.75
city,Antioch,driving,NA,California,United States,2020-08-12,139.64
city,Antioch,driving,NA,California,United States,2020-08-13,147.27
city,Antioch,driving,NA,California,United States,2020-08-14,164.47
city,Antioch,driving,NA,California,United States,2020-08-15,160.42
city,Antioch,driving,NA,California,United States,2020-08-16,133.66
city,Antioch,driving,NA,California,United States,2020-08-17,136.93
city,Antioch,driving,NA,California,United States,2020-08-18,141.54
city,Antioch,driving,NA,California,United States,2020-08-19,148.2
city,Antioch,driving,NA,California,United States,2020-08-20,147.41
city,Antioch,driving,NA,California,United States,2020-08-21,159.94
city,Antioch,driving,NA,California,United States,2020-08-22,156.72
city,Antioch,driving,NA,California,United States,2020-08-23,123.38
city,Antioch,driving,NA,California,United States,2020-08-24,133.34
city,Antioch,driving,NA,California,United States,2020-08-25,131.31
city,Antioch,driving,NA,California,United States,2020-08-26,139.08
city,Antioch,driving,NA,California,United States,2020-08-27,139.59
city,Antioch,driving,NA,California,United States,2020-08-28,159.12
city,Antioch,driving,NA,California,United States,2020-08-29,159.83
city,Antioch,driving,NA,California,United States,2020-08-30,131.18
city,Antioch,driving,NA,California,United States,2020-08-31,138.08
city,Antioch,driving,NA,California,United States,2020-09-01,135.47
city,Antioch,driving,NA,California,United States,2020-09-02,139.94
city,Antioch,driving,NA,California,United States,2020-09-03,150.14
city,Antioch,driving,NA,California,United States,2020-09-04,176.17
city,Antioch,driving,NA,California,United States,2020-09-05,158.5
city,Antioch,driving,NA,California,United States,2020-09-06,133.5
city,Antioch,driving,NA,California,United States,2020-09-07,130.45
city,Antioch,driving,NA,California,United States,2020-09-08,138.19
city,Antioch,driving,NA,California,United States,2020-09-09,134.53
city,Antioch,driving,NA,California,United States,2020-09-10,134.99
city,Antioch,driving,NA,California,United States,2020-09-11,153.81
city,Antioch,driving,NA,California,United States,2020-09-12,151.85
city,Antioch,driving,NA,California,United States,2020-09-13,123.72
city,Antioch,driving,NA,California,United States,2020-09-14,133.4
city,Antioch,driving,NA,California,United States,2020-09-15,136.55
city,Antioch,driving,NA,California,United States,2020-09-16,140.9
city,Antioch,driving,NA,California,United States,2020-09-17,140.36
