X1,geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
1,city,Albany,driving,NA,New York,United States,2020-04-11,55.65
1,city,Albany,driving,NA,New York,United States,2020-04-12,36.71
1,city,Albany,driving,NA,New York,United States,2020-04-13,49.49
1,city,Albany,driving,NA,New York,United States,2020-04-14,58.63
1,city,Albany,driving,NA,New York,United States,2020-04-15,60.53
1,city,Albany,driving,NA,New York,United States,2020-04-16,61.16
1,city,Albany,driving,NA,New York,United States,2020-04-17,68.06
1,city,Albany,driving,NA,New York,United States,2020-04-18,56.43
1,city,Albany,driving,NA,New York,United States,2020-04-19,55.05
1,city,Albany,driving,NA,New York,United States,2020-04-20,61.87
1,city,Albany,driving,NA,New York,United States,2020-04-21,58.33
1,city,Albany,driving,NA,New York,United States,2020-04-22,60.03
1,city,Albany,driving,NA,New York,United States,2020-04-23,65.1
1,city,Albany,driving,NA,New York,United States,2020-04-24,70.93
1,city,Albany,driving,NA,New York,United States,2020-04-25,72.97
1,city,Albany,driving,NA,New York,United States,2020-04-26,47.49
1,city,Albany,driving,NA,New York,United States,2020-04-27,58.76
1,city,Albany,driving,NA,New York,United States,2020-04-28,68.18
1,city,Albany,driving,NA,New York,United States,2020-04-29,68.12
1,city,Albany,driving,NA,New York,United States,2020-04-30,67.2
1,city,Albany,driving,NA,New York,United States,2020-05-01,78.44
1,city,Albany,driving,NA,New York,United States,2020-05-02,79.82
1,city,Albany,driving,NA,New York,United States,2020-05-03,67.52
1,city,Albany,driving,NA,New York,United States,2020-05-04,69.29
1,city,Albany,driving,NA,New York,United States,2020-05-05,76.59
1,city,Albany,driving,NA,New York,United States,2020-05-06,74.27
1,city,Albany,driving,NA,New York,United States,2020-05-07,77.32
1,city,Albany,driving,NA,New York,United States,2020-05-08,86.11
1,city,Albany,driving,NA,New York,United States,2020-05-09,77.2
1,city,Albany,driving,NA,New York,United States,2020-05-10,62.28
1,city,Albany,driving,NA,New York,United States,2020-05-11,NA
1,city,Albany,driving,NA,New York,United States,2020-05-12,NA
1,city,Albany,driving,NA,New York,United States,2020-05-13,85.16
1,city,Albany,driving,NA,New York,United States,2020-05-14,89.45
1,city,Albany,driving,NA,New York,United States,2020-05-15,95.66
1,city,Albany,driving,NA,New York,United States,2020-05-16,94.95
1,city,Albany,driving,NA,New York,United States,2020-05-17,75.35
1,city,Albany,driving,NA,New York,United States,2020-05-18,83.97
1,city,Albany,driving,NA,New York,United States,2020-05-19,92.49
1,city,Albany,driving,NA,New York,United States,2020-05-20,96.26
1,city,Albany,driving,NA,New York,United States,2020-05-21,101.83
1,city,Albany,driving,NA,New York,United States,2020-05-22,114.11
