geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Jacksonville,driving,NA,Florida,United States,2020-04-17,77.14
city,Jacksonville,driving,NA,Florida,United States,2020-04-18,68.62
city,Jacksonville,driving,NA,Florida,United States,2020-04-19,53.55
city,Jacksonville,driving,NA,Florida,United States,2020-04-20,67.13
city,Jacksonville,driving,NA,Florida,United States,2020-04-21,71.73
city,Jacksonville,driving,NA,Florida,United States,2020-04-22,72.37
city,Jacksonville,driving,NA,Florida,United States,2020-04-23,72.85
city,Jacksonville,driving,NA,Florida,United States,2020-04-24,79.13
city,Jacksonville,driving,NA,Florida,United States,2020-04-25,78.82
city,Jacksonville,driving,NA,Florida,United States,2020-04-26,60.54
city,Jacksonville,driving,NA,Florida,United States,2020-04-27,73.7
city,Jacksonville,driving,NA,Florida,United States,2020-04-28,76.44
city,Jacksonville,driving,NA,Florida,United States,2020-04-29,78.98
city,Jacksonville,driving,NA,Florida,United States,2020-04-30,80.2
city,Jacksonville,driving,NA,Florida,United States,2020-05-01,94.19
city,Jacksonville,driving,NA,Florida,United States,2020-05-02,87.56
city,Jacksonville,driving,NA,Florida,United States,2020-05-03,68.49
city,Jacksonville,driving,NA,Florida,United States,2020-05-04,85.22
city,Jacksonville,driving,NA,Florida,United States,2020-05-05,89.59
city,Jacksonville,driving,NA,Florida,United States,2020-05-06,87.77
city,Jacksonville,driving,NA,Florida,United States,2020-05-07,91.78
city,Jacksonville,driving,NA,Florida,United States,2020-05-08,106.82
city,Jacksonville,driving,NA,Florida,United States,2020-05-09,99.58
city,Jacksonville,driving,NA,Florida,United States,2020-05-10,71.72
city,Jacksonville,driving,NA,Florida,United States,2020-05-11,NA
city,Jacksonville,driving,NA,Florida,United States,2020-05-12,NA
city,Jacksonville,driving,NA,Florida,United States,2020-05-13,98.12
city,Jacksonville,driving,NA,Florida,United States,2020-05-14,103.63
city,Jacksonville,driving,NA,Florida,United States,2020-05-15,118.52
city,Jacksonville,driving,NA,Florida,United States,2020-05-16,113.94
city,Jacksonville,driving,NA,Florida,United States,2020-05-17,88.5
city,Jacksonville,driving,NA,Florida,United States,2020-05-18,103.4
city,Jacksonville,driving,NA,Florida,United States,2020-05-19,106.45
city,Jacksonville,driving,NA,Florida,United States,2020-05-20,107.66
city,Jacksonville,driving,NA,Florida,United States,2020-05-21,113.63
city,Jacksonville,driving,NA,Florida,United States,2020-05-22,131.77
city,Jacksonville,driving,NA,Florida,United States,2020-05-23,124.88
city,Jacksonville,driving,NA,Florida,United States,2020-05-24,99.35
city,Jacksonville,driving,NA,Florida,United States,2020-05-25,89.21
city,Jacksonville,driving,NA,Florida,United States,2020-05-26,110.29
city,Jacksonville,driving,NA,Florida,United States,2020-05-27,111.29
city,Jacksonville,driving,NA,Florida,United States,2020-05-28,112.56
city,Jacksonville,driving,NA,Florida,United States,2020-05-29,129.39
city,Jacksonville,driving,NA,Florida,United States,2020-05-30,127.59
city,Jacksonville,driving,NA,Florida,United States,2020-05-31,90.54
city,Jacksonville,driving,NA,Florida,United States,2020-06-01,109.38
city,Jacksonville,driving,NA,Florida,United States,2020-06-02,112.89
city,Jacksonville,driving,NA,Florida,United States,2020-06-03,114.42
city,Jacksonville,driving,NA,Florida,United States,2020-06-04,115.15
city,Jacksonville,driving,NA,Florida,United States,2020-06-05,133.05
city,Jacksonville,driving,NA,Florida,United States,2020-06-06,125.6
city,Jacksonville,driving,NA,Florida,United States,2020-06-07,85.47
city,Jacksonville,driving,NA,Florida,United States,2020-06-08,113.24
city,Jacksonville,driving,NA,Florida,United States,2020-06-09,116.53
city,Jacksonville,driving,NA,Florida,United States,2020-06-10,118.95
city,Jacksonville,driving,NA,Florida,United States,2020-06-11,124.65
city,Jacksonville,driving,NA,Florida,United States,2020-06-12,143.74
city,Jacksonville,driving,NA,Florida,United States,2020-06-13,140.98
city,Jacksonville,driving,NA,Florida,United States,2020-06-14,107.06
city,Jacksonville,driving,NA,Florida,United States,2020-06-15,120.83
city,Jacksonville,driving,NA,Florida,United States,2020-06-16,123.8
city,Jacksonville,driving,NA,Florida,United States,2020-06-17,123.52
city,Jacksonville,driving,NA,Florida,United States,2020-06-18,130.51
city,Jacksonville,driving,NA,Florida,United States,2020-06-19,150.68
city,Jacksonville,driving,NA,Florida,United States,2020-06-20,139.23
city,Jacksonville,driving,NA,Florida,United States,2020-06-21,98.58
city,Jacksonville,driving,NA,Florida,United States,2020-06-22,122.14
city,Jacksonville,driving,NA,Florida,United States,2020-06-23,123.84
city,Jacksonville,driving,NA,Florida,United States,2020-06-24,125.38
city,Jacksonville,driving,NA,Florida,United States,2020-06-25,130.06
city,Jacksonville,driving,NA,Florida,United States,2020-06-26,144.14
city,Jacksonville,driving,NA,Florida,United States,2020-06-27,133.36
city,Jacksonville,driving,NA,Florida,United States,2020-06-28,103.85
city,Jacksonville,driving,NA,Florida,United States,2020-06-29,120.78
city,Jacksonville,driving,NA,Florida,United States,2020-06-30,120.2
city,Jacksonville,driving,NA,Florida,United States,2020-07-01,125.25
city,Jacksonville,driving,NA,Florida,United States,2020-07-02,133.26
city,Jacksonville,driving,NA,Florida,United States,2020-07-03,131.85
city,Jacksonville,driving,NA,Florida,United States,2020-07-04,105.08
city,Jacksonville,driving,NA,Florida,United States,2020-07-05,93.3
city,Jacksonville,driving,NA,Florida,United States,2020-07-06,116.32
city,Jacksonville,driving,NA,Florida,United States,2020-07-07,118.33
city,Jacksonville,driving,NA,Florida,United States,2020-07-08,123.18
city,Jacksonville,driving,NA,Florida,United States,2020-07-09,126.15
city,Jacksonville,driving,NA,Florida,United States,2020-07-10,139.57
city,Jacksonville,driving,NA,Florida,United States,2020-07-11,130.53
city,Jacksonville,driving,NA,Florida,United States,2020-07-12,98.83
city,Jacksonville,driving,NA,Florida,United States,2020-07-13,118.41
city,Jacksonville,driving,NA,Florida,United States,2020-07-14,118.85
city,Jacksonville,driving,NA,Florida,United States,2020-07-15,122.54
city,Jacksonville,driving,NA,Florida,United States,2020-07-16,128.28
city,Jacksonville,driving,NA,Florida,United States,2020-07-17,142.07
city,Jacksonville,driving,NA,Florida,United States,2020-07-18,133.04
city,Jacksonville,driving,NA,Florida,United States,2020-07-19,103.12
city,Jacksonville,driving,NA,Florida,United States,2020-07-20,121.04
city,Jacksonville,driving,NA,Florida,United States,2020-07-21,121.99
city,Jacksonville,driving,NA,Florida,United States,2020-07-22,123.87
city,Jacksonville,driving,NA,Florida,United States,2020-07-23,127.66
city,Jacksonville,driving,NA,Florida,United States,2020-07-24,143.71
city,Jacksonville,driving,NA,Florida,United States,2020-07-25,134.3
city,Jacksonville,driving,NA,Florida,United States,2020-07-26,102.23
city,Jacksonville,driving,NA,Florida,United States,2020-07-27,119.13
city,Jacksonville,driving,NA,Florida,United States,2020-07-28,123.26
city,Jacksonville,driving,NA,Florida,United States,2020-07-29,123.45
city,Jacksonville,driving,NA,Florida,United States,2020-07-30,129.01
city,Jacksonville,driving,NA,Florida,United States,2020-07-31,141.76
city,Jacksonville,driving,NA,Florida,United States,2020-08-01,135.15
city,Jacksonville,driving,NA,Florida,United States,2020-08-02,92.55
city,Jacksonville,driving,NA,Florida,United States,2020-08-03,115.55
city,Jacksonville,driving,NA,Florida,United States,2020-08-04,124.33
city,Jacksonville,driving,NA,Florida,United States,2020-08-05,124.4
city,Jacksonville,driving,NA,Florida,United States,2020-08-06,127
city,Jacksonville,driving,NA,Florida,United States,2020-08-07,143.54
city,Jacksonville,driving,NA,Florida,United States,2020-08-08,138.02
city,Jacksonville,driving,NA,Florida,United States,2020-08-09,105.51
city,Jacksonville,driving,NA,Florida,United States,2020-08-10,124.83
city,Jacksonville,driving,NA,Florida,United States,2020-08-11,123.91
city,Jacksonville,driving,NA,Florida,United States,2020-08-12,129.37
city,Jacksonville,driving,NA,Florida,United States,2020-08-13,134.8
city,Jacksonville,driving,NA,Florida,United States,2020-08-14,151.34
