geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Akron,driving,NA,Ohio,United States,2020-04-24,94.79
city,Akron,driving,NA,Ohio,United States,2020-04-25,91.99
city,Akron,driving,NA,Ohio,United States,2020-04-26,59.74
city,Akron,driving,NA,Ohio,United States,2020-04-27,86.73
city,Akron,driving,NA,Ohio,United States,2020-04-28,84.76
city,Akron,driving,NA,Ohio,United States,2020-04-29,83.55
city,Akron,driving,NA,Ohio,United States,2020-04-30,85.68
city,Akron,driving,NA,Ohio,United States,2020-05-01,100.92
city,Akron,driving,NA,Ohio,United States,2020-05-02,100.14
city,Akron,driving,NA,Ohio,United States,2020-05-03,82.59
city,Akron,driving,NA,Ohio,United States,2020-05-04,90.53
city,Akron,driving,NA,Ohio,United States,2020-05-05,93.36
city,Akron,driving,NA,Ohio,United States,2020-05-06,95.83
city,Akron,driving,NA,Ohio,United States,2020-05-07,100.84
city,Akron,driving,NA,Ohio,United States,2020-05-08,107.44
city,Akron,driving,NA,Ohio,United States,2020-05-09,101.5
city,Akron,driving,NA,Ohio,United States,2020-05-10,77.35
city,Akron,driving,NA,Ohio,United States,2020-05-11,NA
city,Akron,driving,NA,Ohio,United States,2020-05-12,NA
city,Akron,driving,NA,Ohio,United States,2020-05-13,113.08
city,Akron,driving,NA,Ohio,United States,2020-05-14,107.55
city,Akron,driving,NA,Ohio,United States,2020-05-15,123.3
city,Akron,driving,NA,Ohio,United States,2020-05-16,127.77
city,Akron,driving,NA,Ohio,United States,2020-05-17,94.21
city,Akron,driving,NA,Ohio,United States,2020-05-18,108.57
city,Akron,driving,NA,Ohio,United States,2020-05-19,119.76
city,Akron,driving,NA,Ohio,United States,2020-05-20,123.5
city,Akron,driving,NA,Ohio,United States,2020-05-21,129.05
city,Akron,driving,NA,Ohio,United States,2020-05-22,135.56
city,Akron,driving,NA,Ohio,United States,2020-05-23,130.72
city,Akron,driving,NA,Ohio,United States,2020-05-24,104.99
city,Akron,driving,NA,Ohio,United States,2020-05-25,96.83
city,Akron,driving,NA,Ohio,United States,2020-05-26,131
city,Akron,driving,NA,Ohio,United States,2020-05-27,132.81
city,Akron,driving,NA,Ohio,United States,2020-05-28,132.11
city,Akron,driving,NA,Ohio,United States,2020-05-29,140.36
city,Akron,driving,NA,Ohio,United States,2020-05-30,141.58
city,Akron,driving,NA,Ohio,United States,2020-05-31,110.3
city,Akron,driving,NA,Ohio,United States,2020-06-01,129.51
city,Akron,driving,NA,Ohio,United States,2020-06-02,134.49
city,Akron,driving,NA,Ohio,United States,2020-06-03,134.03
city,Akron,driving,NA,Ohio,United States,2020-06-04,135.91
city,Akron,driving,NA,Ohio,United States,2020-06-05,159.94
city,Akron,driving,NA,Ohio,United States,2020-06-06,152.08
city,Akron,driving,NA,Ohio,United States,2020-06-07,119.03
city,Akron,driving,NA,Ohio,United States,2020-06-08,141.28
city,Akron,driving,NA,Ohio,United States,2020-06-09,144.95
city,Akron,driving,NA,Ohio,United States,2020-06-10,141.2
city,Akron,driving,NA,Ohio,United States,2020-06-11,151.45
city,Akron,driving,NA,Ohio,United States,2020-06-12,168.39
city,Akron,driving,NA,Ohio,United States,2020-06-13,159.2
city,Akron,driving,NA,Ohio,United States,2020-06-14,126.25
city,Akron,driving,NA,Ohio,United States,2020-06-15,144.03
city,Akron,driving,NA,Ohio,United States,2020-06-16,149.72
city,Akron,driving,NA,Ohio,United States,2020-06-17,151.97
city,Akron,driving,NA,Ohio,United States,2020-06-18,155.93
